
2022/12/10 (15:44:52) | ===> btop++ v.1.2.13
2022/12/10 (15:44:52) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/12/10 (16:46:10) | ===> btop++ v.1.2.13
2022/12/10 (16:46:10) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/12/10 (17:03:00) | ===> btop++ v.1.2.13
2022/12/10 (17:03:00) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/12/10 (17:30:16) | ===> btop++ v.1.2.13
2022/12/10 (17:30:16) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/12/10 (17:44:12) | ===> btop++ v.1.2.13
2022/12/10 (17:44:12) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/12/10 (20:42:39) | ===> btop++ v.1.2.13
2022/12/10 (20:42:39) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/12/10 (22:45:26) | ===> btop++ v.1.2.13
2022/12/10 (22:45:26) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/12/10 (23:26:56) | ===> btop++ v.1.2.13
2022/12/10 (23:26:56) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/12/10 (23:46:22) | ===> btop++ v.1.2.13
2022/12/10 (23:46:22) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/12/11 (15:21:09) | ===> btop++ v.1.2.13
2022/12/11 (15:21:09) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/12/11 (19:13:43) | ===> btop++ v.1.2.13
2022/12/11 (19:13:43) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/12/11 (21:16:51) | ===> btop++ v.1.2.13
2022/12/11 (21:16:51) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/12/12 (11:09:30) | ===> btop++ v.1.2.13
2022/12/12 (11:09:30) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/12/12 (13:35:13) | ===> btop++ v.1.2.13
2022/12/12 (13:35:13) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/12/12 (16:53:55) | ===> btop++ v.1.2.13
2022/12/12 (16:53:55) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/12/14 (14:52:21) | ===> btop++ v.1.2.13
2022/12/14 (14:52:21) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/12/15 (09:28:11) | ===> btop++ v.1.2.13
2022/12/15 (09:28:11) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/12/15 (11:03:32) | ===> btop++ v.1.2.13
2022/12/15 (11:03:32) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/12/18 (23:43:55) | ===> btop++ v.1.2.13
2022/12/18 (23:43:55) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/12/22 (23:17:59) | ===> btop++ v.1.2.13
2022/12/22 (23:17:59) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/12/22 (23:25:11) | ===> btop++ v.1.2.13
2022/12/22 (23:25:11) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/12/27 (16:04:35) | ===> btop++ v.1.2.13
2022/12/27 (16:04:35) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/12/27 (22:44:31) | ===> btop++ v.1.2.13
2022/12/27 (22:44:31) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/12/28 (00:06:34) | ===> btop++ v.1.2.13
2022/12/28 (00:06:34) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/12/28 (19:19:03) | ===> btop++ v.1.2.13
2022/12/28 (19:19:03) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/12/30 (00:20:04) | ===> btop++ v.1.2.13
2022/12/30 (00:20:04) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/12/31 (16:06:25) | ===> btop++ v.1.2.13
2022/12/31 (16:06:25) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/01/01 (21:21:48) | ===> btop++ v.1.2.13
2023/01/01 (21:21:48) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/01/01 (22:25:48) | ===> btop++ v.1.2.13
2023/01/01 (22:25:48) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/01/01 (23:16:17) | ===> btop++ v.1.2.13
2023/01/01 (23:16:17) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/01/03 (10:57:32) | ===> btop++ v.1.2.13
2023/01/03 (10:57:32) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/01/05 (16:21:00) | ===> btop++ v.1.2.13
2023/01/05 (16:21:00) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/01/08 (19:40:20) | ===> btop++ v.1.2.13
2023/01/08 (19:40:20) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/01/08 (20:06:00) | ===> btop++ v.1.2.13
2023/01/08 (20:06:00) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/01/08 (20:25:37) | ===> btop++ v.1.2.13
2023/01/08 (20:25:37) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/01/09 (10:11:14) | ===> btop++ v.1.2.13
2023/01/09 (10:11:14) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/01/09 (10:23:20) | ===> btop++ v.1.2.13
2023/01/09 (10:23:20) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/01/09 (17:01:50) | ===> btop++ v.1.2.13
2023/01/09 (17:01:50) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/01/09 (17:31:19) | ===> btop++ v.1.2.13
2023/01/09 (17:31:19) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/01/11 (17:32:20) | ===> btop++ v.1.2.13
2023/01/11 (17:32:20) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/01/16 (15:54:54) | ===> btop++ v.1.2.13
2023/01/16 (15:54:54) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/01/25 (15:28:40) | ===> btop++ v.1.2.13
2023/01/25 (15:28:40) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/01/29 (22:35:02) | ===> btop++ v.1.2.13
2023/01/29 (22:35:02) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/01/29 (22:37:03) | ===> btop++ v.1.2.13
2023/01/29 (22:37:03) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/02/06 (20:59:53) | ===> btop++ v.1.2.13
2023/02/06 (20:59:53) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/02/13 (11:04:09) | ===> btop++ v.1.2.13
2023/02/13 (11:04:09) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/02/15 (17:01:08) | ===> btop++ v.1.2.13
2023/02/15 (17:01:08) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/02/16 (10:19:24) | ===> btop++ v.1.2.13
2023/02/16 (10:19:24) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/02/22 (17:32:37) | ===> btop++ v.1.2.13
2023/02/22 (17:32:37) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/03/02 (07:44:06) | ===> btop++ v.1.2.13
2023/03/02 (07:44:06) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/03/04 (15:45:44) | ===> btop++ v.1.2.13
2023/03/04 (15:45:44) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/03/04 (16:28:34) | ===> btop++ v.1.2.13
2023/03/04 (16:28:34) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/03/04 (16:29:26) | ===> btop++ v.1.2.13
2023/03/04 (16:29:26) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/03/12 (14:02:18) | ===> btop++ v.1.2.13
2023/03/12 (14:02:18) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/03/24 (11:19:13) | ===> btop++ v.1.2.13
2023/03/24 (11:19:13) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/03/30 (09:56:41) | ===> btop++ v.1.2.13
2023/03/30 (09:56:41) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/04/20 (16:32:56) | ===> btop++ v.1.2.13
2023/04/20 (16:32:56) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/03 (14:38:41) | ===> btop++ v.1.2.13
2023/05/03 (14:38:41) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/15 (15:24:45) | ===> btop++ v.1.2.13
2023/05/15 (15:24:45) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/05/28 (12:16:48) | ===> btop++ v.1.2.13
2023/05/28 (12:16:48) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/06/14 (17:59:47) | ===> btop++ v.1.2.13
2023/06/14 (17:59:47) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2023/06/16 (14:48:51) | ERROR: Stall in Runner thread, restarting!
2023/06/16 (14:48:57) | ERROR: Stall in Runner thread, restarting!
2023/06/16 (14:49:03) | ERROR: Stall in Runner thread, restarting!
2023/06/16 (14:49:09) | ERROR: Stall in Runner thread, restarting!
2023/06/16 (14:49:15) | ERROR: Stall in Runner thread, restarting!
2023/06/16 (14:49:21) | ERROR: Stall in Runner thread, restarting!
